
2022/12/18 (16:11:23) | ===> btop++ v.1.2.8
2022/12/18 (16:11:23) | INFO: Logger set to INFO
2022/12/18 (16:11:23) | INFO: Logger set to DEBUG
2022/12/18 (16:11:24) | INFO: Logger set to INFO
2022/12/18 (16:11:26) | INFO: Logger set to INFO
2022/12/18 (16:11:37) | INFO: Quitting! Runtime: 00:01:38

2023/01/09 (09:17:13) | ===> btop++ v.1.2.8
2023/01/09 (09:17:13) | INFO: Logger set to INFO
2023/01/09 (09:17:13) | INFO: Running on /dev/pts/1

2023/01/13 (07:47:00) | ===> btop++ v.1.2.8
2023/01/13 (07:47:00) | INFO: Logger set to INFO
2023/01/13 (07:47:00) | INFO: Running on /dev/pts/0
2023/01/13 (07:47:13) | INFO: Quitting! Runtime: 00:00:13

2023/01/13 (08:55:54) | ===> btop++ v.1.2.8
2023/01/13 (08:55:54) | INFO: Logger set to INFO
2023/01/13 (08:55:54) | INFO: Running on /dev/pts/2
2023/01/13 (08:55:59) | INFO: Quitting! Runtime: 00:00:05

2023/01/13 (19:32:23) | ===> btop++ v.1.2.8
2023/01/13 (19:32:23) | INFO: Logger set to INFO
2023/01/13 (19:32:23) | INFO: Running on /dev/pts/0
2023/01/13 (19:33:02) | INFO: Quitting! Runtime: 00:00:39

2023/01/19 (08:56:45) | ===> btop++ v.1.2.8
2023/01/19 (08:56:45) | INFO: Logger set to INFO
2023/01/19 (08:56:45) | INFO: Running on /dev/pts/1
2023/01/19 (08:56:50) | INFO: Quitting! Runtime: 00:00:05

2023/01/20 (09:48:37) | ===> btop++ v.1.2.8
2023/01/20 (09:48:37) | INFO: Logger set to INFO
2023/01/20 (09:48:37) | INFO: Running on /dev/pts/4
2023/01/20 (09:48:46) | INFO: Quitting! Runtime: 00:00:09

2023/01/20 (09:49:35) | ===> btop++ v.1.2.8
2023/01/20 (09:49:35) | INFO: Logger set to INFO
2023/01/20 (09:49:35) | INFO: Running on /dev/pts/1
2023/01/20 (09:49:39) | INFO: Quitting! Runtime: 00:00:04

2023/01/20 (09:49:40) | ===> btop++ v.1.2.8
2023/01/20 (09:49:40) | INFO: Logger set to INFO
2023/01/20 (09:49:40) | INFO: Running on /dev/pts/1
2023/01/20 (09:49:45) | INFO: Quitting! Runtime: 00:00:05

2023/01/27 (07:48:11) | ===> btop++ v.1.2.8
2023/01/27 (07:48:11) | INFO: Logger set to INFO
2023/01/27 (07:48:11) | INFO: Running on /dev/pts/2
2023/01/27 (07:48:29) | INFO: Quitting! Runtime: 00:00:18

2023/01/27 (11:27:36) | ===> btop++ v.1.2.8
2023/01/27 (11:27:36) | INFO: Logger set to INFO
2023/01/27 (11:27:36) | INFO: Running on /dev/pts/1
2023/01/27 (11:27:43) | INFO: Quitting! Runtime: 00:00:07

2023/01/27 (11:27:48) | ===> btop++ v.1.2.8
2023/01/27 (11:27:48) | INFO: Logger set to INFO
2023/01/27 (11:27:48) | INFO: Running on /dev/pts/1
2023/01/27 (11:27:54) | INFO: Quitting! Runtime: 00:00:06
